Goals,Shots,XG,Minutes Played,Home Team,Away Team,Home Goals,Away Goals,Date,Season,XA,Assists,Key Passes,NPG,NPXG,XGChain,XGBuildup
1,7,0.42,90,Real Madrid,Granada,2,0,2020-12-23,2020,0.05,0,1,1,0.42,1.2,0.72
1,3,1.1,90,Eibar,Real Madrid,1,3,2020-12-20,2020,0.62,2,3,1,1.1,1.7,0.58
2,4,0.9,90,Real Madrid,Athletic Club,3,1,2020-12-15,2020,0.03,0,1,2,0.9,0.81,0.05
0,3,0.17,90,Real Madrid,Atletico Madrid,2,0,2020-12-12,2020,0.07,0,1,0,0.17,0.25,0.0
0,3,0.99,90,Sevilla,Real Madrid,0,1,2020-12-05,2020,0.0,0,0,0,0.99,0.99,0.0
1,2,0.09,81,Valencia,Real Madrid,4,1,2020-11-08,2020,0.06,0,1,1,0.09,0.18,0.09
2,3,1.23,90,Real Madrid,SD Huesca,4,1,2020-10-31,2020,0.13,1,2,2,1.23,1.48,0.12
0,3,0.53,90,Barcelona,Real Madrid,1,3,2020-10-24,2020,0.36,1,1,0,0.53,0.99,0.1
0,2,0.06,90,Real Madrid,Cadiz,0,1,2020-10-17,2020,0.0,0,0,0,0.06,0.24,0.19
1,6,0.64,90,Levante,Real Madrid,0,2,2020-10-04,2020,0.66,0,1,1,0.64,1.34,0.03
0,3,0.11,87,Real Madrid,Real Valladolid,1,0,2020-09-30,2020,0.15,0,1,0,0.11,0.31,0.09
0,4,1.39,90,Real Betis,Real Madrid,2,3,2020-09-26,2020,0.45,1,1,0,1.39,2.31,0.47
0,4,0.28,90,Real Sociedad,Real Madrid,0,0,2020-09-20,2020,0.12,0,1,0,0.28,0.33,0.05
0,1,0.06,64,Leganes,Real Madrid,2,2,2020-07-19,2019,0.0,0,0,0,0.06,0.16,0.1
2,4,1.26,90,Real Madrid,Villarreal,2,1,2020-07-16,2019,0.07,0,1,1,0.52,0.77,0.18
1,3,0.21,90,Granada,Real Madrid,1,2,2020-07-13,2019,0.0,0,0,1,0.21,0.38,0.24
1,4,0.99,87,Real Madrid,Alaves,2,0,2020-07-10,2019,0.83,1,4,0,0.25,1.26,0.18
0,3,1.48,90,Athletic Club,Real Madrid,0,1,2020-07-05,2019,0.02,0,1,0,1.48,1.02,0.35
0,3,0.18,90,Real Madrid,Getafe,1,0,2020-07-02,2019,0.0,0,0,0,0.18,0.56,0.38
0,2,0.09,90,Espanyol,Real Madrid,0,1,2020-06-28,2019,0.72,1,2,0,0.09,0.81,0.0
0,3,0.18,85,Real Madrid,Mallorca,2,0,2020-06-24,2019,0.38,0,2,0,0.18,0.56,0.06
1,2,0.17,79,Real Sociedad,Real Madrid,1,2,2020-06-21,2019,0.0,0,0,1,0.17,0.2,0.03
2,3,0.61,90,Real Madrid,Valencia,3,0,2020-06-18,2019,0.85,0,4,2,0.61,1.51,0.08
0,0,0.0,90,Real Madrid,Eibar,3,1,2020-06-14,2019,0.13,0,1,0,0.0,1.14,1.14
1,2,0.78,90,Real Betis,Real Madrid,2,1,2020-03-08,2019,0.09,0,2,0,0.03,0.14,0.05
0,3,0.45,90,Real Madrid,Barcelona,2,0,2020-03-01,2019,0.02,0,1,0,0.45,0.51,0.08
0,4,0.91,90,Levante,Real Madrid,1,0,2020-02-22,2019,0.0,0,0,0,0.91,0.91,0.0
0,3,0.2,90,Real Madrid,Celta Vigo,2,2,2020-02-16,2019,0.05,0,1,0,0.2,0.98,0.72
0,5,0.38,89,Osasuna,Real Madrid,1,4,2020-02-09,2019,0.4,1,2,0,0.38,0.92,0.5
1,2,0.53,90,Real Madrid,Atletico Madrid,1,0,2020-02-01,2019,0.13,0,2,1,0.53,0.7,0.07
0,2,0.09,90,Real Valladolid,Real Madrid,0,1,2020-01-26,2019,0.0,0,0,0,0.09,0.06,0.0
0,1,0.07,28,Real Madrid,Sevilla,2,1,2020-01-18,2019,0.0,0,0,0,0.07,0.18,0.11
0,2,0.08,84,Getafe,Real Madrid,0,3,2020-01-04,2019,0.0,0,0,0,0.08,0.08,0.0
0,7,1.0,90,Real Madrid,Athletic Club,0,0,2019-12-22,2019,0.36,0,4,0,1.0,1.28,0.02
0,2,0.17,90,Barcelona,Real Madrid,0,0,2019-12-18,2019,0.02,0,1,0,0.17,0.21,0.02
1,6,1.36,90,Valencia,Real Madrid,1,1,2019-12-15,2019,0.34,0,6,1,1.36,0.92,0.05
1,4,1.5,90,Real Madrid,Espanyol,2,0,2019-12-07,2019,0.71,1,6,1,1.5,2.25,0.36
0,2,0.13,90,Alaves,Real Madrid,1,2,2019-11-30,2019,0.05,0,1,0,0.13,0.69,0.56
1,6,0.63,90,Real Madrid,Real Sociedad,3,1,2019-11-23,2019,0.15,1,2,1,0.63,0.54,0.2
2,5,1.79,90,Eibar,Real Madrid,0,4,2019-11-09,2019,0.05,0,1,1,1.04,1.27,0.18
0,6,0.47,83,Real Madrid,Real Betis,0,0,2019-11-02,2019,0.41,0,1,0,0.47,1.37,0.49
1,5,1.31,70,Real Madrid,Leganes,5,0,2019-10-30,2019,1.29,2,3,0,0.56,1.96,0.83
0,3,0.29,90,Mallorca,Real Madrid,1,0,2019-10-19,2019,0.02,0,1,0,0.29,0.29,0.0
1,3,0.77,90,Real Madrid,Granada,4,2,2019-10-05,2019,0.36,0,2,1,0.77,2.12,1.3
0,2,0.08,89,Atletico Madrid,Real Madrid,0,0,2019-09-28,2019,0.01,0,1,0,0.08,0.11,0.01
1,3,0.47,90,Sevilla,Real Madrid,0,1,2019-09-22,2019,0.2,0,2,1,0.47,0.62,0.13
2,7,1.21,85,Real Madrid,Levante,3,2,2019-09-14,2019,0.02,0,1,2,1.21,2.16,1.19
0,2,0.06,90,Villarreal,Real Madrid,2,2,2019-09-01,2019,0.07,0,1,0,0.06,0.79,0.66
1,5,0.3,90,Real Madrid,Real Valladolid,1,1,2019-08-24,2019,0.04,0,1,1,0.3,0.71,0.47
1,4,1.0,83,Celta Vigo,Real Madrid,1,3,2019-08-17,2019,0.39,1,2,1,1.0,1.4,0.1
0,1,0.38,76,Real Madrid,Real Betis,0,2,2019-05-19,2018,0.0,0,0,0,0.38,0.38,0.0
0,1,0.03,90,Real Sociedad,Real Madrid,3,1,2019-05-12,2018,0.28,1,1,0,0.03,0.76,0.44
0,3,0.76,90,Getafe,Real Madrid,0,0,2019-04-25,2018,0.0,0,0,0,0.76,0.81,0.05
3,4,0.91,90,Real Madrid,Athletic Club,3,0,2019-04-21,2018,0.0,0,0,3,0.91,0.95,0.28
1,3,0.43,90,Leganes,Real Madrid,1,1,2019-04-15,2018,0.21,0,3,1,0.43,1.04,0.41
2,6,1.49,90,Real Madrid,Eibar,2,1,2019-04-06,2018,0.0,0,0,2,1.49,1.56,0.16
1,2,0.43,90,Valencia,Real Madrid,2,1,2019-04-03,2018,0.07,0,1,1,0.43,0.1,0.01
1,6,1.71,90,Real Madrid,SD Huesca,3,2,2019-03-31,2018,0.94,1,2,1,1.71,3.38,0.72
0,4,0.19,84,Real Madrid,Celta Vigo,2,0,2019-03-16,2018,1.07,1,2,0,0.19,1.35,0.13
