Goals,Shots,XG,Minutes Played,Home Team,Away Team,Home Goals,Away Goals,Date,Season,XA,Assists,Key Passes,NPG,NPXG,XGChain,XGBuildup
0,2,0.45,81,Athletic Club,Real Madrid,1,0,2015-03-07,2014,0.07,0,2,0,0.45,0.53,0.0
0,2,0.18,83,Real Madrid,Villarreal,1,1,2015-03-01,2014,0.06,0,1,0,0.18,0.19,0.0
1,2,0.92,90,Elche,Real Madrid,0,2,2015-02-22,2014,0.07,0,1,1,0.92,1.08,0.13
1,5,0.62,86,Real Madrid,Deportivo La Coruna,2,0,2015-02-14,2014,0.13,0,4,1,0.62,0.74,0.07
0,1,0.02,75,Atletico Madrid,Real Madrid,4,0,2015-02-07,2014,0.0,0,0,0,0.02,0.0,0.0
0,1,0.14,90,Real Madrid,Sevilla,2,1,2015-02-04,2014,0.0,0,0,0,0.14,1.22,1.07
2,5,1.19,83,Real Madrid,Real Sociedad,4,1,2015-01-31,2014,0.7,0,4,2,1.19,2.69,0.86
1,4,0.84,90,Cordoba,Real Madrid,1,2,2015-01-24,2014,0.0,0,0,1,0.84,0.2,0.13
0,3,0.15,90,Getafe,Real Madrid,0,3,2015-01-18,2014,0.79,1,3,0,0.15,1.0,0.18
0,1,0.02,63,Real Madrid,Espanyol,3,0,2015-01-10,2014,0.22,0,2,0,0.02,0.34,0.25
0,1,0.06,82,Valencia,Real Madrid,2,1,2015-01-04,2014,0.0,0,0,0,0.06,0.65,0.59
0,1,0.03,85,Almeria,Real Madrid,1,4,2014-12-12,2014,0.43,2,2,0,0.03,0.46,0.0
0,2,0.25,82,Real Madrid,Celta Vigo,3,0,2014-12-06,2014,0.0,0,0,0,0.25,0.37,0.22
1,2,0.83,73,Malaga,Real Madrid,1,2,2014-11-29,2014,0.0,0,0,1,0.83,1.31,0.51
1,4,1.46,90,Eibar,Real Madrid,0,4,2014-11-22,2014,0.0,0,0,1,1.46,2.75,1.28
1,2,0.88,85,Real Madrid,Rayo Vallecano,5,1,2014-11-08,2014,0.13,0,1,1,0.88,1.78,0.89
1,2,0.66,90,Granada,Real Madrid,0,4,2014-11-01,2014,0.87,2,7,1,0.66,2.2,1.34
1,5,0.42,87,Real Madrid,Barcelona,3,1,2014-10-25,2014,0.2,0,3,1,0.42,0.65,0.09
2,2,0.54,80,Real Madrid,Athletic Club,5,0,2014-10-05,2014,0.0,0,0,2,0.54,1.49,1.01
0,1,0.15,84,Villarreal,Real Madrid,0,2,2014-09-27,2014,0.53,1,1,0,0.15,0.75,0.08
0,2,0.11,59,Deportivo La Coruna,Real Madrid,2,8,2014-09-20,2014,0.91,2,3,0,0.11,1.04,0.07
0,3,0.14,63,Real Madrid,Atletico Madrid,1,2,2014-09-13,2014,0.0,0,0,0,0.14,0.14,0.0
0,2,0.43,90,Real Sociedad,Real Madrid,4,2,2014-08-31,2014,0.12,0,1,0,0.43,0.59,0.04
1,1,0.05,76,Real Madrid,Cordoba,2,0,2014-08-25,2014,0.08,0,1,1,0.05,0.08,0.0
